,feature,importance
0,Frequency,0.8626647389272503
1,channelGrouping_Organic Search,0.01817720718509018
2,Monetary,0.016707180105817145
3,channelGrouping_Direct,0.012295209751090544
4,totals.timeOnSite,0.011119207277461903
5,totals.pageviews,0.010012481758793837
