,Classifier,ROC AUC Scores,F1 Scores
0,Dummy Classifier (Stratified),0.5091846289137875,0.20567375886524822
1,Dummy Classifier (uniform),0.49667063133054534,0.26392961876832843
2,Dummy Classifier (most frequent),0.5,0.0
3,Logistic Regression,0.7543922360071618,0.6383928571428571
4,SVC,0.5000585209694869,0.014598540145985401
5,KNN,0.5395570120774628,0.21307506053268763
6,Decision Trees,0.8105296622232906,0.6764168190127972
7,Random Forests,0.8113030880092115,0.6853932584269662
