,Classifier,ROC AUC Scores,F1 Scores
0,Dummy Classifier (Stratified),0.5091846289137875,0.20567375886524822
1,Dummy Classifier (uniform),0.49667063133054534,0.26392961876832843
2,Dummy Classifier (most frequent),0.5,0.0
3,Logistic Regression,0.7550454565584609,0.6371681415929203
4,SVC,0.5328397537690667,0.21444201312910283
5,KNN,0.5599365442893024,0.25310173697270466
6,Decision Trees,0.779165585873987,0.6694915254237288
7,Random Forests,0.8205715442576694,0.7003745318352059
