,inertia,silhouette,bouldin,calinski
2,0.924510598380718,0.83,0.1,40
3,0.34603331049570984,0.7,0.35,84
4,0.17079429401415622,0.65,0.4,124
5,0.09404875357743557,0.64,0.4,171
6,0.06128137269766891,0.57,0.42,208
7,0.034692615542076,0.63,0.38,302
