,Classifier,ROC AUC Scores,F1 Scores
0,Logistic Regression,0.9198486768272816,0.9176882661996496
1,SVC,0.8542113456177822,0.8520914187149633
2,KNN,0.8146942765087065,0.830130668716372
3,Decision Trees,0.9205687289577527,0.9204064352243859
4,Random Forests,0.932882018607682,0.9325985587113185
