,mutual_info_score,column_name
0,0.2230459974590009,totals_pageviews
1,0.21430257957088306,totals_hits
2,0.18571992161980955,totals_timeOnSite
3,0.08163208736194294,geoNetwork_country_woe
4,0.06718895209237008,totals_bounces
5,0.05313643762652931,trafficSource_source_woe
6,0.0458186640214695,totals_newVisits
7,0.04261840722506571,channelGrouping_Social
8,0.04018826413264698,trafficSource_medium_referral
9,0.039231538641842256,channelGrouping_Referral
10,0.024533659886351478,trafficSource_isTrueDirect_code
11,0.0181652972202202,device_browser_woe
12,0.014768049837999397,hits_hour_ordinal
13,0.010957642795002664,device_operatingSystem_Macintosh
14,0.010528375563901404,device_operatingSystem_Windows
15,0.006502934487385925,device_deviceCategory_mobile
16,0.004980820750442261,hits_eCommerceAction_action_type
17,0.004672695058223653,device_operatingSystem_Chrome_OS
18,0.0031973181031854647,device_operatingSystem_Android
19,0.0025681823468604037,trafficSource_medium_cpm
20,0.0025359949814693916,channelGrouping_Direct
21,0.0024245475797612936,trafficSource_medium_organic
22,0.0016171246403093864,channelGrouping_Organic Search
23,0.0015990158542333877,device_operatingSystem_iOS
24,0.0015660157033423605,channelGrouping_Paid Search
25,0.0003189204771345544,device_operatingSystem_Windows_Phone
26,0.0,socialEngagementType
27,0.0,channelGrouping_Display
28,0.0,trafficSource_medium_affiliate
29,0.0,trafficSource_medium_cpc
30,0.0,device_operatingSystem_BlackBerry
31,0.0,device_operatingSystem_Firefox_OS
32,0.0,device_operatingSystem_Linux
33,0.0,device_operatingSystem_Nintendo_Wii
34,0.0,device_operatingSystem_Samsung
35,0.0,device_operatingSystem_Xbox
36,0.0,device_deviceCategory_tablet
