,Model,datasets,AUC,Recall,F1-Score
0,spark_lr,"('X_train_dsample', 'X_test_dsample')",0.9906918971968349,0.9562043795620438,0.9562043795620438
4,spark_rf,"('X_train_dsample', 'X_test_dsample')",0.9885358522971232,0.9872262773722628,0.9617777777777777
5,spark_rf,"('X_train_random', 'X_test_random')",0.9850495291671761,0.9117647058823529,0.8378378378378379
1,spark_lr,"('X_train_random', 'X_test_random')",0.9818393053687177,0.7941176470588235,0.8372093023255813
3,spark_dt,"('X_train_random', 'X_test_random')",0.9692582854347561,0.9558823529411765,0.7878787878787878
2,spark_dt,"('X_train_dsample', 'X_test_dsample')",0.9652870637306018,0.9799270072992701,0.9684400360685301
