,All feat,All feat bal.,PCA imb.,PCA balanced
2,7723053.1950727515,36363278.64696458,0.924510598380718,0.92
3,4635627.331988907,21146287.46601206,0.34603331049570984,0.26
4,3152512.6591042527,13471478.256840032,0.17079429401415622,0.12
5,2212026.5306408834,8623701.995988801,0.09404875357743557,0.06
6,1692860.0249964818,6084164.2799709495,0.06128137269766891,0.03
7,1410685.4361760253,4741141.745187155,0.034692615542076,0.02
