,inertia,silhouette,bouldin,calinski
2,0.9233262213646478,0.83,0.11,41
3,0.25676128373422646,0.74,0.3,121
4,0.12144293752005136,0.71,0.33,180
5,0.06069268175433987,0.72,0.31,272
6,0.028503466783267425,0.72,0.3,458
7,0.017108562914287084,0.75,0.28,622
