,inertia,silhouette,bouldin,calinski
2,36363278.64696458,0.66,0.6,124608
3,21146287.46601206,0.62,0.58,142771
4,13471478.256840032,0.61,0.55,168212
5,8623701.995988801,0.59,0.53,210995
6,6084164.2799709495,0.58,0.54,247516
7,4741141.745187155,0.55,0.57,269365
