,Classifier,ROC AUC Scores,F1 Scores
0,Dummy Classifier (Stratified),0.48418491836513056,0.4818453652285349
1,Dummy Classifier (uniform),0.5034362668790501,0.5034013605442177
2,Dummy Classifier (most frequent),0.5,0.6569551556698087
3,Logistic Regression,0.9198486768272816,0.9176882661996496
4,SVC,0.8542113456177822,0.8520914187149633
5,KNN,0.8146942765087065,0.830130668716372
6,Decision Trees,0.9205687289577527,0.9204064352243859
7,Random Forests,0.932882018607682,0.9325985587113185
