,PC1,PC2,CLUSTERS
6747,-20.75116523558372,1.725582723508843,A
35542,-20.78944330150547,2.7105558566281966,A
76391,-7.627736791624597,-0.7904461531368264,B
71515,44.36087628400434,0.26341530815161146,C
79534,15.367062271903109,-0.35308761251696114,D
67012,-8.621187631057648,-1.2987763100228764,B
62342,-3.64671318266389,-0.6335875955972637,B
31849,-20.79296392564103,3.113897173863541,A
86269,-5.6408246383997716,-1.0071941727433982,B
68969,65.37545645747802,0.6278075951199267,C
8948,-17.679187856248014,-1.2113888307987724,E
38426,-19.69878714142511,-0.7855831465053235,E
2141,-2.6785210322564237,-0.9422050917041295,B
40308,-20.769969002508105,1.8063639027396792,A
31503,-20.794349751305695,3.401289751939447,A
4204,-20.73789791449336,0.48319652238111416,E
78467,69.37359834249284,0.8538024478240123,C
55129,13.434949737039735,-1.5120909427924312,D
72069,53.348327432446446,0.728711379069512,C
65981,-3.6365132647557856,-0.660700630646295,B
34495,-20.704843679699184,-0.5603943451071579,E
36924,-13.680099777329827,-0.9501115413641611,E
31814,-9.627773654392895,-1.0487331268705182,B
90832,6.372301347586173,-1.1889598728437478,B
45728,-17.694091557685006,-1.0912987693967562,E
7855,-20.74603934800012,1.8926206436047843,A
65717,16.35321133233821,-0.0186487107360342,D
91840,-2.627183426737267,-1.254579472624435,B
82174,-8.62955434084143,-1.1412712618717178,B
79348,73.70657035049872,-1.5691243284635823,C
78399,20.38653092794899,-0.40968195474404845,D
61226,36.395574251789334,0.6002428487391007,C
52966,9.34183168686825,0.4478570814087591,D
78217,-0.6376851554963437,-1.4909085102837196,B
63471,17.369329616193905,-0.5447742883701044,D
29952,-20.791199985688166,2.838818637970497,A
34803,-20.70487340920222,-0.7606368528192035,E
59149,25.69259421495741,-2.82673407028032,D
65905,29.458825481432637,0.5356628259088934,D
66163,10.384347861726805,-0.6958726017116784,D
60095,49.362961439682124,0.7136608401578255,C
13503,-13.697932095609918,-0.256252771778646,E
52566,16.42551847845521,-0.9560202240832156,D
35439,-9.698633979179542,-0.43756798268482155,B
40319,-20.712781837934816,-0.7108760027362423,E
55927,20.374435625498908,-0.7690139732927662,D
22775,-20.699800453952626,-0.7209109203155608,E
54263,16.373856711891236,-0.46482763542065897,D
43825,-19.695945691771957,-0.7256779118896552,E
15748,-3.7155986955902627,1.2731565239687856,B
76663,8.348075637069817,-0.12657746692619715,D
30442,-18.733398592037062,0.5556773967889378,E
54394,144.34509803408883,3.240997697958896,C
57110,12.387889082312102,-0.9971490105090024,D
30795,-19.783597758029806,3.2115280981718506,A
3906,-14.682433160133566,-1.9119236097784165,E
6930,-3.696680258737861,0.08807512080786367,B
21151,-20.68229567153413,-1.5811799623720544,E
49315,-19.699256062021597,-1.1685647442258886,E
44680,-20.752196813429805,0.7773218836474731,A
82705,24.387552936774757,0.1536718629643624,D
69493,48.41179221909235,-0.5073057609973967,C
33392,-19.762778561589514,2.093748393136146,A
9884,-20.780320728860367,2.624299068914658,A
54064,28.370387327018953,-0.42191650491920873,D
84126,12.354770404202755,-0.8940597116521534,D
44584,-20.72387031518008,0.11437505667436039,E
37041,-12.718299231247652,0.20677464463893236,E
51297,33.41910070933724,-1.1422686902959347,D
80344,55.365233039874134,0.41298522785321407,C
35958,-20.750847366079146,0.9610393094329491,A
76835,49.36804233090063,0.7096689051441675,C
48786,-20.699690672832414,-1.1180002607327668,E
85517,24.351548364389828,0.012370097062598312,D
44404,-18.750115236498157,1.3727840049523916,E
65694,-2.6363325033697813,-1.0138019950816046,B
55069,29.365109069961917,-0.11114838428893188,D
16231,-16.626085023211097,-4.920586471346353,E
13160,-19.78909641028402,3.222721821802182,A
45663,-20.72478421236257,-0.21323016660258742,E
21664,-0.7258676725112134,0.825788838240269,B
79873,40.36636576049946,0.68192493414362,C
90043,1.367201440903652,-1.0216475578120356,B
86048,67.35863865851546,1.294469571632351,C
62668,3.3813986580419115,-1.5774000233138132,B
66121,-4.627182078355277,-1.813423158987437,B
85964,14.39287377073793,-0.5493443454342545,D
97469,18.374879920195262,-1.1631072045890918,D
67598,18.345014678152996,0.12873381216110602,D
20878,-20.782488656727764,2.850419298066221,A
28747,-6.657446333852778,-1.5456940516525917,B
55754,10.347238279740317,-0.8447850426089134,D
52228,-6.609742365259822,-1.6329818344119318,B
79070,-3.563993136365574,-2.302772315697664,B
97116,1.3909713337559286,-1.7798534084489128,B
96310,20.369577716228832,0.16893919776680769,D
3649,-19.70294712546804,-1.1487035138418598,E
84965,2.3965508262399258,-1.0654357462752408,B
8816,-20.787501032561796,3.521908917036104,A
97809,39.36532110563948,0.1076668964349441,C
31176,-20.77835845820832,2.2117651440565944,A
58069,5.3669255103936635,-0.993452119866219,B
78935,21.434512802295718,-1.7600518550415245,D
95884,46.38292458023447,0.24463724247292826,C
21569,-17.71457293689426,0.34269923771793587,E
84494,8.409249710729858,-0.9103715093517588,D
46964,-20.73419876406347,0.08908222908907623,E
97316,-9.668942577359303,-0.019639201385179595,B
52150,-1.6333572130958005,-1.1014087133879022,B
90726,-1.6341189204950486,-1.4146576582684591,B
4962,-20.707789847829737,-1.211618805968529,E
30087,-20.76733821040855,2.439784855465287,A
40297,-20.777796767034513,2.028707555726454,A
28302,12.272543866619486,0.9428428004869827,D
9359,-19.728620156474314,0.5112348344743333,E
46280,-16.720976277272484,0.18928415850936187,E
33450,-16.742242891210854,1.5626959983395516,E
48527,-16.70093334500107,-0.6708263585025902,E
53255,-1.52047960410041,-1.2186735140567773,B
48844,-17.698663159935325,-0.9764037653918956,E
58172,11.368772995571389,-0.9347962379186732,D
